ùÿóûþú÷ûûû—»7û»‡{ûƒûËÿúçú·ÿ»·ýãú7ûûú·ú»ÿ·ýÿã·úç³›û·û÷»÷ûóú¿³¿··ÿûã³úww·ý·ú›»ÿ³÷7ûã»—ûûû¿³·ûúÿúÿûýƒúýÿûÿ7ûÿû·û›û÷ûúww³··û·úÿúþú·ú»ûóûþú÷ûûû—»7û»‡{ûƒûËÿúçú·ÿ»·ýãú7ûûú·ú»ÿ·ýÿã·úç³›û·û÷»÷ûóú¿³¿··ÿûã³úww·ý·ú›»ÿ³÷7ûã»—ûûû¿³·ûúÿúÿûýƒúýÿûÿ7ûÿû·û›û÷ûúww³··û·úÿúþú·ú»ûóûþú÷ûûû—»7û»‡{ûƒûËÿúçú·ÿ»·ýãú7û1364,1617,25,161,134,134,141,126,118
3376,1612,0,0,0,0,0,0,17
4696,1607,3,4,2,2,0,0,0
5980,1609,0,0,0,0,0,0,0
7260,1610,0,0,0,0,0,0,0
8532,1609,0,0,0,0,0,0,0
9808,1611,0,0,0,0,0,0,0
11080,1608,0,0,0,0,1,1,0
12416,1610,0,1,1,1,1,1,2
13744,1609,0,1,1,2,2,3,5
15072,1608,0,2,1,2,2,3,6
16408,1611,1,2,1,1,2,3,7
17736,1613,1,1,1,2,2,2,6
19068,1608,0,0,0,0,0,0,2
20400,1608,0,0,0,0,0,0,0
21732,1608,0,0,0,0,0,0,0
23064,1605,0,0,0,0,0,0,0
24392,1610,0,0,0,0,0,0,0
25728,1609,0,0,0,0,0,0,0
27056,1609,0,0,0,0,0,0,0
28384,1610,0,0,0,0,0,1,0
29720,1609,0,1,1,1,2,3,4
31052,1609,0,1,1,1,2,2,6
32380,1610,1,2,1,1,2,3,7
33712,1610,1,1,1,1,2,2,6
35044,1614,0,1,1,1,1,1,4
36376,1609,0,0,0,0,0,0,1
37704,1609,0,0,0,0,0,0,0
39040,1609,0,0,0,0,0,0,0
40372,1612,0,0,0,0,0,0,0
41700,1611,0,0,0,0,0,0,0
43036,1608,0,0,0,0,0,0,0
44364,1612,0,0,0,0,0,1,0
45696,1610,0,0,0,0,1,1,1
47024,1610,0,1,1,1,2,3,5
48360,1608,0,1,1,1,2,3,6
49692,1610,1,2,1,1,2,3,6
51020,1613,1,1,1,1,2,2,6
52360,1613,0,0,0,0,0,0,2
53688,1609,0,0,0,0,0,0,0
55020,1607,0,0,0,0,0,0,0
56356,1608,0,0,0,0,0,0,0
57684,1610,0,0,0,0,0,0,0
59012,1608,0,0,0,0,0,0,0
60344,1610,0,0,0,0,0,0,0
61680,1607,0,0,0,0,0,1,0
63008,1607,0,1,1,1,2,3,4
64340,1607,0,1,1,1,1,3,6
65676,1609,0,1,1,1,2,3,7
67004,1608,0,1,1,1,2,2,6
68332,1614,0,1,1,1,1,1,3
69668,1611,0,0,0,0,0,0,1
71000,1610,0,0,0,0,0,0,0
72332,1609,0,0,0,0,0,0,0
73660,1609,0,0,0,0,0,0,0
74996,1611,0,0,0,0,0,0,0
76328,1612,0,0,0,0,0,0,0
77660,1611,0,0,0,0,0,0,0
78996,1611,0,0,0,0,1,1,2
80324,1611,0,1,1,1,2,3,5
81656,1609,0,0,1,1,2,3,6
82992,1610,0,1,1,1,2,2,7
84320,1615,1,1,1,1,1,2,6
85648,1613,0,0,0,0,0,0,2
86980,1609,0,0,0,0,0,0,0
88316,1608,0,0,0,0,0,0,0
89644,1610,0,0,0,0,0,0,0
90976,1610,0,0,0,0,0,0,0
92312,1609,0,0,0,0,0,0,0
93640,1609,0,0,0,0,0,0,0
94972,1608,0,0,0,0,0,1,0
96308,1610,0,1,1,1,2,2,4
97636,1609,0,1,1,1,2,2,6
98968,1609,0,1,1,1,2,3,6
100296,1609,0,1,1,1,2,2,6
101688,1613,0,1,1,1,0,1,3
103072,1608,0,0,0,0,0,0,1
104460,1608,0,0,0,0,0,0,0
105840,1609,0,0,0,0,0,0,0
107224,1610,0,0,0,0,0,0,0
108616,1609,0,0,0,0,0,0,0
110000,1610,0,0,0,0,0,0,0
111384,1608,0,0,0,0,0,0,0
112772,1607,0,1,1,1,2,2,4
114156,1610,0,1,1,1,2,2,5
115540,1608,1,1,1,1,2,3,6
116928,1609,0,1,1,1,2,2,6
118312,1614,0,1,1,1,1,0,3
119696,1608,0,0,0,0,0,0,0
121084,1608,0,0,0,0,0,0,0
122468,1609,0,0,0,0,0,0,0
123852,1611,0,0,0,0,0,0,0
125240,1611,0,0,0,0,0,0,0
126624,1610,0,0,0,0,0,0,0
128016,1611,0,0,0,0,0,0,0
129396,1609,0,0,1,1,1,2,4
130780,1610,0,1,1,1,1,2,6
132172,1609,0,1,1,1,2,3,7
133552,1609,0,2,1,1,2,2,6
134936,1615,0,1,1,0,1,1,4
136324,1611,0,0,0,0,0,0,1
137708,1609,0,0,0,0,0,0,0
139092,1610,0,0,0,0,0,0,0
140480,1609,0,0,0,0,0,0,0
141864,1610,0,0,0,0,0,0,0
143248,1609,0,0,0,0,0,0,0
144636,1610,0,0,0,0,0,0,0
146020,1611,0,0,0,1,2,2,4
147404,1612,0,1,0,1,2,3,6
148792,1610,0,1,1,1,2,2,7
150176,1609,1,1,1,1,1,2,6
151568,1615,0,1,1,0,1,1,3
152952,1611,0,0,0,0,0,0,0
154336,1610,0,0,0,0,0,0,0
155732,1610,0,0,0,0,0,0,0
157116,1610,0,0,0,0,0,0,0
158500,1610,0,0,0,0,0,0,0
159888,1612,0,0,0,0,0,0,0
161272,1611,0,0,0,0,0,0,0
162656,1608,0,0,1,1,1,2,4
